Latitude,Longitude,Suburb,Count
1.284582,103.861001,Bayfront Subzone,1
1.3271035,103.9311572,Bedok,1
1.3513131,103.84019,Bishan,3
1.3598218,103.7515806,Bukit Batok,3
1.2874745,103.8045936,Bukit Merah,6
1.3849442,103.759775,Bukit Panjang,1
1.3539188,103.9854272,Changi,13
1.3814855,103.7431966,Choa Chu Kang,1
1.27587275,103.8443402,Downtown Core,1
1.3104883,103.899329,Geylang,2
1.3741656,103.887698,Hougang,3
1.3470383,103.8820179,Joo Seng,1
1.3382566,103.7353307,Jurong East,3
1.3415278,103.7051695,Jurong West,4
1.334496,103.902001,Kaki Bukit,1
1.3076976,103.8585205,Kallang,1
1.377051,103.841289,Kebun Bahru,2
1.3022831,103.885609,Marine Parade,1
1.3218951,103.8442075,Novena,1
1.2771947,103.8435156,Outram,1
1.3709071,103.9455487,Pasir Ris,2
1.3322826,103.8652817,Potong Pasir,1
1.2940781,103.8039247,Queenstown,1
1.3068198,103.8553058,Rochor,2
1.4507679,103.8177727,Sembawang,1
1.3944092,103.8792153,Seng Kang,2
1.3497088,103.8780902,Serangoon,10
1.25740215,103.8097938,Southern Islands,2
1.3546146,103.951541,Tampines,1
1.2995183,103.824364,Tanglin,1
1.340004,103.8575296,Toa Payoh,1
1.447654,103.8008891,Woodlands,1
